status,attention_mode,linear_mode,compile_scope,precision_mode,forward_ms,fwd_bwd_ms,max_mem_gb,energy_max_abs,force_max_abs,error
ok,flash,spatial_recompute,none,fp32_high,292.6640869991388,857.888913480565,32.73790216445923,4.971027374267578e-05,1.8704737158259377e-05,
ok,flash,spatial_fast,none,fp32_high,273.0112739955075,808.5790094919503,27.240310192108154,5.054473876953125e-05,1.7227353964699432e-05,
ok,flash,ffn_fourier_direct,none,fp32_high,289.39178297878243,866.403227992123,26.417057037353516,9.965896606445312e-05,1.7584416127647273e-05,
error,flash,all_fourier_direct,none,fp32_high,,,,,,"ValueError: q, v, and qv projections must use the same linear backend"
ok,triton_tf32x3,spatial_recompute,none,fp32_high,295.65716750221327,894.0371464996133,34.114925384521484,7.724761962890625e-05,2.054689139185939e-05,
ok,triton_tf32x3,spatial_fast,none,fp32_high,277.1961854887195,844.7717849921901,28.617487907409668,7.522106170654297e-05,2.0529230823740363e-05,
ok,triton_tf32x3,ffn_fourier_direct,none,fp32_high,286.90504099358805,876.3679615221918,27.79426097869873,7.891654968261719e-05,1.8498256395105273e-05,
error,triton_tf32x3,all_fourier_direct,none,fp32_high,,,,,,"ValueError: q, v, and qv projections must use the same linear backend"
ok,triton_bf16compat,spatial_recompute,none,fp32_high,299.02158500044607,861.4332595025189,32.7399787902832,6.0677528381347656e-05,1.757660174916964e-05,
ok,triton_bf16compat,spatial_fast,none,fp32_high,276.8972579797264,811.0848699870985,27.24248456954956,5.412101745605469e-05,1.5437066394952126e-05,
ok,triton_bf16compat,ffn_fourier_direct,none,fp32_high,291.71576601220295,856.2407880090177,26.419231414794922,7.998943328857422e-05,1.8017461115960032e-05,
error,triton_bf16compat,all_fourier_direct,none,fp32_high,,,,,,"ValueError: q, v, and qv projections must use the same linear backend"
ok,triton_radial_r2,spatial_recompute,none,fp32_high,299.8534615035169,926.1702329968102,34.11276626586914,7.009506225585938e-05,1.9943392544519156e-05,
